순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","사회과학","말과활 - 창간호","6000648104","9772288387807","","일곱번째숲","말과활 편집부 지음","15,000","14,250","750","5%","430점","20130722","1013"
"2","사회과학","인문학으로 광고하다","899252563X","9788992525633","03100","알마","박웅현, 강창래 지음","17,500","15,750","1,750","10%","870점","20090827","7408"
"3","사회과학","기적을 이룬 나라 기쁨을 잃은 나라","8954622100","9788954622103","03840","문학동네","다니엘 튜더 지음, 노정태 옮김","17,000","16,150","850","5%","510점","20130731","1884"
"4","사회과학","왜 세계의 절반은 굶주리는가?","8990809177","9788990809179","03300","갈라파고스","장 지글러 지음, 유영미 옮김, 우석훈 해제, 주경복 부록","9,800","8,820","980","10%","490점","20070312","40144"
"5","사회과학","불평등의 대가","8932916209","9788932916200","03320","열린책들","조지프 스티글리츠 지음, 이순희 옮김","25,000","22,500","2,500","10%","1,250점","20130530","4524"
"6","사회과학","마초로 아저씨의 세계화에서 살아남기","8990926149","9788990926142","03300","부광","엘 피스곤 지음, 김명신 옮김","10,000","9,000","1,000","10%","500점","20051227","1230"
"7","사회과학","칼 마르크스 - 그의 생애와 시대","896637025X","9788966370252","13840","미다스북스","이사야 벌린 지음, 안규남 옮김","13,800","12,420","1,380","10%","690점","20120323","4838"
"8","사회과학","어떻게 살 것인가","8965132282","9788965132288","03810","생각의길","유시민 지음","15,000","13,500","1,500","10%","750점","20130313","39547"
"9","사회과학","사람을 위한 경제학","8983716088","9788983716088","03320","반비","실비아 나사르 지음, 김정아 옮김","30,000","27,000","3,000","10%","1,500점","20130730","445"
"10","사회과학","피로사회","8932022887","9788932022888","03100","문학과지성사","한병철 지음, 김태환 옮김","12,000","10,800","1,200","10%","600점","20120305","22496"
"11","사회과학","콘크리트 유토피아","895707550X","9788957075500","04300","자음과모음(이룸)","박해천 지음","15,000","13,500","1,500","10%","750점","20110228","1700"
"12","사회과학","고릴라는 핸드폰을 미워해","8993746060","9788993746068","03800","북센스","박경화 지음","12,000","10,800","1,200","10%","600점","20110715","18717"
"13","사회과학","시크릿 파일 서해전쟁","8994612750","9788994612751","03340","메디치미디어","김종대 지음","15,000","13,500","1,500","10%","750점","20130830","781"
"14","사회과학","나쁜 기업","8991503136","9788991503137","03300","프로메테우스","한스 바이스.클라우스 베르너 지음, 손주희 옮김, 이상호 감수","16,800","15,120","1,680","10%","840점","20080421","775"
"15","사회과학","하류지향","8988613538","9788988613535","03370","민들레","우치다 타츠루 지음, 김경옥 옮김","14,000","12,600","1,400","10%","700점","20130730","3349"
"16","사회과학","국가란 무엇인가","8971994274","9788971994276","03340","돌베개","유시민 지음","14,000","12,600","1,400","10%","700점","20110418","8926"
"17","사회과학","자연과 인간","8991706673","9788991706675","03300","비(도서출판b)","가라타니 고진 지음, 조영일 옮김","20,000","18,000","2,000","10%","1,000점","20130726","620"
"18","사회과학","프로파일러 표창원의 사건 추적","8967904541","9788967904548","03300","지식의숲(넥서스)","표창원 지음","13,800","12,420","1,380","10%","690점","20130820","852"
"19","사회과학","다른 게 나쁜 건 아니잖아요","8996783129","9788996783121","03330","꿈결","SBS 스페셜 제작팀 지음","13,000","11,700","1,300","10%","650점","20120312","2538"
"20","사회과학","왜 도덕인가?","8947527750","9788947527750","03330","한국경제신문","마이클 샌델 지음, 안진환.이수경 옮김","16,000","14,400","1,600","10%","800점","20101027","7375"
"21","사회과학","오래된 미래","8961880845","9788961880848","03810","중앙books(중앙북스)","헬레나 노르베리-호지 지음, 양희승 옮김","12,000","10,800","1,200","10%","600점","20071115","10601"
"22","사회과학","최고의 공부","8937834111","9788937834110","03370","와이즈베리","켄 베인 지음, 이영아 옮김","15,000","13,500","1,500","10%","750점","20130325","1856"
"23","사회과학","지구가 뿔났다","8998400030","9788998400033","43400","꿈결","남종영 지음","13,800","12,420","1,380","10%","690점","20130422","4392"
"24","사회과학","자급의 삶은 가능한가","8964472071","9788964472071","93300","동연출판사","마리아 미즈 외 지음, 꿈지모(꿈꾸는 지렁이들의 모임) 옮김","18,000","16,200","1,800","10%","900점","20130722","569"
"25","사회과학","오염된 국어사전","8959062375","9788959062379","03710","인물과사상사","이윤옥 지음","13,000","11,700","1,300","10%","650점","20130722","295"
"26","사회과학","정치의 즐거움","8997780069","9788997780068","03300","오마이북","박원순.오연호 지음","15,000","13,500","1,500","10%","750점","20130716","353"
"27","사회과학","공부하는 유대인","8998453037","9788998453039","13370","일상이상","힐 마골린 지음, 권춘오 옮김","13,000","11,700","1,300","10%","650점","20130329","1571"
"28","사회과학","한국 종교가 창피하다","8954621929","9788954621922","03230","휴먼큐브","김용민 지음","14,000","12,600","1,400","10%","140점","20130722","308"
"29","사회과학","군주론","8972914444","9788972914440","03340","까치","니콜로 마키아벨리 지음, 강정인.김경희 옮김","8,000","7,200","800","10%","400점","20080520","5900"
"30","사회과학","돈으로 살 수 없는 것들","8937833662","9788937833663","03330","와이즈베리","마이클 샌델 지음, 안기순 옮김, 김선욱 감수","16,000","14,400","1,600","10%","800점","20120424","29138"
"31","사회과학","팔레스타인","8989501059","9788989501053","03650","글논그림밭","조 사코 지음, 함규진 옮김","12,500","11,250","1,250","10%","620점","20020916","6494"
"32","사회과학","많아지면 달라진다","8901129221","9788901129228","03300","갤리온","클레이 셔키 지음, 이충호 옮김","15,000","13,500","1,500","10%","750점","20110920","677"
"33","사회과학","폭력이란 무엇인가","899617288X","9788996172888","03100","난장이","슬라보예 지젝 지음, 이현우.김희진.정일권 옮김","15,000","13,500","1,500","10%","750점","20110110","5837"
"34","사회과학","무성애를 말하다","8997729101","9788997729104","93330","레디셋고","앤서니 보개트 지음, 임옥희 옮김","16,500","14,850","1,650","10%","820점","20130801","437"
"35","사회과학","국가론","8988601866","9788988601860","03340","돋을새김","플라톤 지음, 이환 옮김","8,500","7,650","850","10%","420점","20061212","6162"
"36","사회과학","폭격","8936482645","9788936482640","93910","창비","김태우 지음","25,000","22,500","2,500","10%","250점","20130727","1049"
"37","사회과학","유행의 시대","8997889257","9788997889259","93300","오월의봄","지그문트 바우만 지음, 윤태준 옮김","13,000","11,700","1,300","10%","650점","20130722","660"
"38","사회과학","실패로부터 배운다는 것","8901158884","9788901158884","03340","웅진지식하우스","심상정 지음","14,000","12,600","1,400","10%","700점","20130805","161"
"39","사회과학","이것은 기억과의 전쟁이다","8958286806","9788958286806","03300","사계절","김동춘 지음","25,000","22,500","2,500","10%","1,250점","20130726","474"
"40","사회과학","사랑은 왜 아픈가","8971995491","9788971995495","03300","돌베개","에바 일루즈 지음, 김희상 옮김","30,000","27,000","3,000","10%","1,500점","20130624","2284"
"41","사회과학","진짜 여자가 되는 법","8961671138","9788961671132","03840","돋을새김","케이틀린 모란 지음, 고유라 옮김","13,500","12,150","1,350","10%","670점","20130808","163"
"42","사회과학","불편해도 괜찮아","8936471899","9788936471897","03300","창비","김두식 지음","18,000","16,200","1,800","10%","900점","20100709","12515"
"43","사회과학","아파트 한국사회","8932316708","9788932316703","03330","현암사","박인석 지음","25,000","22,500","2,500","10%","1,250점","20130731","565"
"44","사회과학","교사, 수업에서 나를 만나다","8991617050","9788991617056","03370","좋은교사","김태현 지음","15,000","13,500","1,500","10%","750점","20120805","11901"
"45","사회과학","런던 특파원 칼 마르크스","8992307772","9788992307772","03900","부글북스","칼 마르크스 지음, 정명진 옮김","18,000","16,200","1,800","10%","900점","20130815","121"
"46","사회과학","한국인만 모르는 다른 대한민국","8950951088","9788950951085","03810","21세기북스","임마누엘 페스트라이쉬(이만열) 지음","15,000","13,500","1,500","10%","750점","20130816","2728"
"47","사회과학","정치를 비즈니스로 만든 우파의 탄생","1195044607","9791195044603","03340","어마마마","토마스 프랭크 지음, 구세희 외 옮김","19,000","17,100","1,900","10%","950점","20130621","529"
"48","사회과학","분노하라","8971994290","9788971994290","03340","돌베개","스테판 에셀 지음, 임희근 옮김","6,000","5,400","600","10%","300점","20110607","9134"
"49","사회과학","수업 - 누구나 경험하지만 누구도 잘 모르는","8968800006","9788968800009","03370","교육공동체벗","이혁규 지음","15,000","13,500","1,500","10%","750점","20130228","3858"
"50","사회과학","누가 박정희를 용서했는가","8993854378","9788993854374","03340","책으로보는세상(책보세)","김재홍 지음","15,000","13,500","1,500","10%","750점","20120104","453"
"51","사회과학","맛있는 햄버거의 무서운 이야기","8991136184","9788991136182","03300","모멘토","에릭 슐로서.찰스 윌슨 지음, 노순옥 옮김","10,000","9,000","1,000","10%","500점","20071110","1670"
"52","사회과학","겟 리얼","8992053770","9788992053778","03300","마티","일레인 글레이저 지음, 최봉실 옮김","16,000","14,400","1,600","10%","800점","20130802","87"
"53","사회과학","세계사의 구조","8991706592","9788991706590","03300","비(도서출판b)","가라타니 고진 지음, 조영일 옮김","26,000","23,400","2,600","10%","1,300점","20121220","2396"
"54","사회과학","월든","8956605416","9788956605418","03840","은행나무","헨리 데이비드 소로우 지음, 강승영 옮김","13,000","11,700","1,300","10%","650점","20110822","45679"
"55","사회과학","백범일지","8971992255","9788971992258","03910","돌베개","김구 지음, 도진순 주해","12,000","10,800","1,200","10%","600점","20020801","19068"
"56","사회과학","중국을 인터뷰하다","8936485830","9788936485832","03300","창비","이창휘.박민희 엮음","20,000","19,000","1,000","5%","1,000점","20130803","255"
"57","사회과학","몸의 증언","8961950711","9788961950718","94300","갈무리","아서 프랭크 지음, 최은경 옮김","21,000","18,900","2,100","10%","1,050점","20130731","873"
"58","사회과학","전태일 평전","8996187429","9788996187424","03990","아름다운전태일(전태일기념사업회)","조영래 지음","13,000","11,700","1,300","10%","650점","20090415","6714"
"59","사회과학","선택","8997201115","9788997201112","03300","프리뷰","미하일 세르게예비치 고르바초프 지음, 이기동 옮김","21,000","18,900","2,100","10%","1,050점","20130808","377"
"60","사회과학","방황하는 개인들의 사회","8997972081","9788997972081","03300","봄아필","지그문트 바우만 지음, 홍지수 옮김","20,000","18,000","2,000","10%","1,000점","20130720","380"
"61","사회과학","기시 노부스케와 박정희","8997735098","9788997735099","03910","책과함께","강상중.현무암 지음, 이목 옮김","17,000","15,300","1,700","10%","850점","20120920","1077"
"62","사회과학","국경 없는 마을","8974832313","9788974832315","03810","서해문집","박채란 글 사진, 한성원 그림","10,900","9,810","1,090","10%","540점","20041120","6149"
"63","사회과학","모호한 재앙에 대하여","8996378933","9788996378938","","논밭출판사","알랭 바디우 지음, 박영기 옮김","15,000","13,500","1,500","10%","750점","20130701","180"
"64","사회과학","감정 자본주의","8971993820","9788971993828","93300","돌베개","에바 일루즈 지음, 김정아 옮김","14,000","12,600","1,400","10%","700점","20100329","2748"
"65","사회과학","거꾸로 생각해 봐!","8989646510","9788989646518","43300","낮은산","홍세화 외 지음","10,500","9,450","1,050","10%","520점","20081005","7784"
"66","사회과학","지식 e - 시즌 1","8956051798","9788956051796","03810","북하우스","EBS 지식채널ⓔ 엮음","12,800","11,520","1,280","10%","640점","20070409","18935"
"67","사회과학","월든","8973813447","9788973813445","03840","(주)태일소담출판사","헨리 데이빗 소로 지음, 한기찬 옮김","13,800","12,420","1,380","10%","690점","20020425","3359"
"68","사회과학","강용석의 직설","8996849383","9788996849384","03300","미래지향","강용석 지음, 박봉팔 엮음","14,500","13,050","1,450","10%","720점","20130724","297"
"69","사회과학","삼성뎐","1195067100","9791195067107","03330","감고당","이용우 지음","15,000","13,500","1,500","10%","750점","20130712","132"
"70","사회과학","왜 검은 돈은 스위스로 몰리는가","8990809517","9788990809513","03300","갈라파고스","장 지글러 지음, 양영란 옮김, 홍기빈 해제","12,800","11,520","1,280","10%","640점","20130625","473"
"71","사회과학","행복 스트레스","8936472283","9788936472283","03100","창비","탁석산 지음","13,000","12,350","650","5%","650점","20130530","858"
"72","사회과학","세계지리를 보다 세트 - 전3권","8965820421","9788965820420","14080","리베르스쿨","박찬영.엄정훈 지음","42,700","38,430","4,270","10%","2,130점","20120731","3596"
"73","사회과학","개똥 세 개","8963190889","9788963190884","43190","북멘토(도서출판)","강수돌 외 지음","13,000","11,700","1,300","10%","650점","20130730","1391"
"74","사회과학","한국전쟁","8967350554","9788967350550","03900","글항아리","왕수쩡 지음, 나진희 외 옮김","40,000","36,000","4,000","10%","2,000점","20130624","394"
"75","사회과학","배드 사이언스","8996460036","9788996460039","03400","공존","벤 골드에이커 지음, 강미경 옮김","18,000","16,200","1,800","10%","900점","20111215","645"
"76","사회과학","백설공주는 왜 자꾸 문을 열어 줄까","8958073349","9788958073345","03300","뜨인돌","박현희 지음","11,000","9,900","1,100","10%","550점","20110630","10295"
"77","사회과학","아파트","8992053762","9788992053761","03610","마티","박철수 지음","16,000","14,400","1,600","10%","800점","20130628","316"
"78","사회과학","욕망해도 괜찮아","8936472151","9788936472153","03810","창비","김두식 지음","15,000","13,500","1,500","10%","150점","20120518","4305"
"79","사회과학","출판이란 무엇인가","8970596798","9788970596792","03010","안그라픽스","캘빈 스미스 지음, 이재석 옮김, 한기호 감수","27,000","24,300","2,700","10%","1,350점","20130805","83"
"80","사회과학","열린책들 편집 매뉴얼 2013","8932916144","9788932916149","03010","열린책들","열린책들 편집부 엮음","6,000","5,400","600","10%","300점","20130330","459"
"81","사회과학","허울뿐인 세계화","8985277359","9788985277358","03300","따님","헬레나 노르베리-호지+ISEC 지음, 이민아 옮김","8,000","7,200","800","10%","400점","20001001","1222"
"82","사회과학","왜 우리는 불평등을 감수하는가?","8972976954","9788972976950","03300","동녘","지그문트 바우만 지음, 안규남 옮김","12,000","10,800","1,200","10%","600점","20130830","1846"
"83","사회과학","개념의료","8991232531","9788991232532","03510","청년의사","박재영 지음","18,000","16,200","1,800","10%","900점","20130820","1999"
"84","사회과학","사상이 필요하다","8967350627","9788967350628","03300","글항아리","김세균 외 8인 지음","15,000","13,500","1,500","10%","750점","20130812","107"
"85","사회과학","조지 케넌의 미국 외교 50년","8984353248","9788984353244","93340","가람기획","조지 F. 케넌 지음, 유강은 옮김","20,000","18,000","2,000","10%","1,000점","20130807","483"
"86","사회과학","현대성과 홀로코스트","8955593627","9788955593624","94330","새물결","지그문트 바우만 지음, 정일준 옮김","35,000","31,500","3,500","10%","1,750점","20130720","1196"
"87","사회과학","스무 살의 사회학","8937487829","9788937487828","03300","민음사","랠프 페브르 외 지음, 이가람 옮김","18,000","16,200","1,800","10%","900점","20130621","1039"
"88","사회과학","타인의 고통","8988105729","9788988105726","04800","이후","수잔 손택 지음, 이재원 옮김","16,500","14,850","1,650","10%","820점","20040107","19522"
"89","사회과학","백인의 눈으로 아프리카를 말하지말라","8962170582","9788962170580","03930","미래를소유한사람들(MSD미디어)","김명주 지음","15,000","13,500","1,500","10%","750점","20120723","1187"
"90","사회과학","청년이여, 마르크스를 읽자","8990809401","9788990809407","03300","갈라파고스","우치다 타츠루 & 이시카와 야스히로 지음, 김경원 옮김","12,000","10,800","1,200","10%","600점","20111202","1473"
"91","사회과학","나는 무슨 일 하며 살아야 할까?","899346314X","9788993463149","43300","철수와영희","이철수 외 지음","12,000","10,800","1,200","10%","600점","20110516","6421"
"92","사회과학","참여형 수업을 이끄는 창의적 교수법 47가지","8962871351","9788962871357","13370","미래와경영","전창욱 지음","18,000","16,200","1,800","10%","900점","20150525","957"
"93","사회과학","최고의 교사는 어떻게 가르치는가","8965743672","9788965743675","03370","해냄","더그 레모브 지음, 구정화.박새롬 번역 및 감수","16,500","14,850","1,650","10%","820점","20130205","1954"
"94","사회과학","산체스네 아이들","115531011X","9791155310113","03330","이매진","오스카 루이스 지음, 박현수 옮김","28,000","25,200","2,800","10%","1,400점","20130809","498"
"95","사회과학","지혜로운 교사는 어떻게 말하는가","8956991634","9788956991634","03370","한문화","칙 무어만 외 지음, 윤미나 옮김","15,000","13,500","1,500","10%","750점","20130722","9021"
"96","사회과학","멈추지 말고 진보하라","895462118X","9788954621182","03340","문학동네","스테판 에셀 지음, 목수정 옮김","14,500","13,780","720","5%","440점","20130424","673"
"97","사회과학","와주테이의 박쥐들","8993949492","9788993949490","03340","왕의서재","이동형 지음","14,500","13,050","1,450","10%","720점","20120320","1822"
"98","사회과학","신데렐라가 내 딸을 잡아먹었다","8967350600","9788967350604","03330","에쎄","페기 오렌스타인 지음, 김현정 옮김","15,000","13,500","1,500","10%","750점","20130805","401"
"99","사회과학","아틀라스 전차전","8997094394","9788997094394","03900","플래닛미디어","스티븐 하트 외 지음, 김홍래 옮김","39,800","35,820","3,980","10%","1,990점","20130712","158"
"100","사회과학","갑과 을의 나라","8959062359","9788959062355","03300","인물과사상사","강준만 지음","13,000","11,700","1,300","10%","650점","20130525","667"
"101","사회과학","후쿠시마에 남겨진 동물들","8997137050","9788997137053","03300","책공장더불어","오오타 야스스케 지음, 하상련 옮김","11,000","9,900","1,100","10%","550점","20130310","1918"
"102","사회과학","아니야, 우리가 미안하다","8994103473","9788994103471","03810","우리학교","천종호 지음","15,000","13,500","1,500","10%","750점","20130218","3974"
"103","사회과학","프로파간다","8995894571","9788995894576","03300","공존","에드워드 버네이스 지음, 강미경 옮김","15,000","13,500","1,500","10%","750점","20090720","11381"
"104","사회과학","정치와 비전 3","8964371887","9788964371886","04100","후마니타스","셸던 월린 지음, 강정인 외 옮김","23,000","20,700","2,300","10%","1,150점","20130819","436"
"105","사회과학","오늘의 교육 2013.7.8","6000649908","9772233673009","","교육공동체벗","교육공동체벗 편집부 지음","12,000","11,400","600","5%","350점","20130701","63"
"106","사회과학","바람이 불면 당신인 줄 알겠습니다","8993949603","9788993949605","03300","왕의서재","이동형 지음","14,000","12,600","1,400","10%","700점","20130513","1069"
"107","사회과학","영원한 라이벌 김대중 VS 김영삼","8993949441","9788993949445","03340","왕의서재","이동형 지음","15,000","13,500","1,500","10%","750점","20110729","2920"
"108","사회과학","북극곰은 걷고 싶다","8984313521","9788984313521","03810","한겨레출판","남종영 지음","15,000","13,500","1,500","10%","750점","20090907","2625"
"109","사회과학","수업을 살리는 교육과정","8997206133","9788997206131","03370","맘에드림","서우철 외 지음","16,500","14,850","1,650","10%","820점","20130820","759"
"110","사회과학","과거의 거울에 비추어","8991418139","9788991418134","03300","느린걸음","이반 일리치 지음, 권루시안 옮김","28,000","25,200","2,800","10%","1,400점","20130522","1299"
"111","사회과학","스승은 있다","8988613503","9788988613504","03370","민들레","우치다 타츠루 지음, 박동섭 옮김","11,000","9,900","1,100","10%","550점","20120720","2304"
"112","사회과학","호모 사케르","8955592329","9788955592320","04100","새물결","조르조 아감벤 지음, 박진우 옮김","22,000","19,800","2,200","10%","1,100점","20080215","5851"
"113","사회과학","지니샘의 행복교실 만들기","8929600840","9788929600846","13370","에듀니티","정유진 지음","18,000","16,200","1,800","10%","900점","20130628","231"
"114","사회과학","내 이름은 욤비","8961570641","9788961570640","03330","이후","욤비 토나.박진숙 지음","16,500","14,850","1,650","10%","820점","20130104","2390"
"115","사회과학","학교란 무엇인가","8927802527","9788927802525","14590","중앙books(중앙북스)","EBS &lt;학교란 무엇인가&gt; 제작팀 엮음","14,800","13,320","1,480","10%","740점","20110901","4872"
"116","사회과학","한국의 연쇄살인","895924418X","9788959244188","03300","랜덤하우스코리아","표창원 지음","12,000","10,800","1,200","10%","600점","20050615","3867"
"117","사회과학","촘스키, 누가 무엇으로 세상을 지배하는가","8989229499","9788989229490","03300","시대의창","레미 말랭그레 그림, 드니 로베르 외 인터뷰 정리","9,800","8,820","980","10%","490점","20021118","5116"
"118","사회과학","서준호 선생님의 마음 흔들기","899465528X","9788994655284","03370","지식프레임","서준호 지음","18,000","16,200","1,800","10%","900점","20130725","874"
"119","사회과학","나는 왜 쓰는가","8984314234","9788984314238","03840","한겨레출판","조지 오웰 지음, 이한중 옮김","18,000","16,200","1,800","10%","900점","20100915","10592"
"120","사회과학","생각의 좌표","8984313580","9788984313583","03810","한겨레출판","홍세화 지음","12,000","10,800","1,200","10%","600점","20091124","7886"
"121","사회과학","협동조합, 성경의 눈으로 보다","1185066055","9791185066059","03320","아바서원","앤드류 매클라우드 지음, 홍병룡 옮김","12,000","10,800","1,200","10%","600점","20130726","173"
"122","사회과학","자동차와 거짓말","8996884952","9788996884958","03330","클","오종훈 지음","14,000","12,600","1,400","10%","700점","20130731","207"
"123","사회과학","대한민국은 민주공화국이다","8971995513","9788971995518","93900","돌베개","박찬승 지음","18,000","16,200","1,800","10%","900점","20130712","327"
"124","사회과학","지상에서 가장 짧은 영원한 만남","8984317020","9788984317024","03360","한겨레출판","김형태 지음","18,000","16,200","1,800","10%","900점","20130524","427"
"125","사회과학","토의.토론 수업방법 56","8925407027","9788925407029","93370","교육과학사","정문성 지음","15,000","15,000","0","0%","750점","20130525","1123"
"126","사회과학","아직 살아있는 자 전두환","1195038321","9791195038329","03300","북콤마","고나무 지음","15,500","13,950","1,550","10%","770점","20130605","448"
"127","사회과학","청춘을 위한 나라는 없다","8997379232","9788997379231","03300","어크로스","한윤형 지음","15,000","13,500","1,500","10%","750점","20130415","1171"
"128","사회과학","공부 상처","892960045X","9788929600457","13370","에듀니티","김현수 지음","13,000","11,700","1,300","10%","650점","20130115","1055"
"129","사회과학","고독을 잃어버린 시간","8972976792","9788972976790","03300","동녘","지그문트 바우만 지음, 조은평.강지은 옮김","16,000","14,400","1,600","10%","800점","20120813","2669"
"130","사회과학","세계대공황","8971994282","9788971994283","94320","돌베개","김수행 지음","12,000","10,800","1,200","10%","600점","20110509","803"
"131","사회과학","긍정의 배신","8960511625","9788960511620","03330","부키","바버라 에런라이크 지음, 전미영 옮김","13,800","12,420","1,380","10%","690점","20110401","5771"
"132","사회과학","거대한 전환","8987671313","9788987671314","93300","길(도서출판)","칼 폴라니 지음, 홍기빈 옮김","38,000","34,200","3,800","10%","1,900점","20090702","7922"
"133","사회과학","대중문화의 겉과 속","8959062367","9788959062362","03300","인물과사상사","강준만 지음","17,000","15,300","1,700","10%","850점","20130627","1993"
"134","사회과학","일하기 전엔 몰랐던 것들","8901156342","9788901156347","03300","웅진지식하우스","류동민 지음","13,000","11,700","1,300","10%","650점","20130515","331"
"135","사회과학","아! 팔레스타인 2","8992855222","9788992855228","07910","여우고개","원혜진 지음, 팔레스타인평화연대 감수","13,000","11,700","1,300","10%","650점","20130518","1207"
"136","사회과학","가르칠 수 있는 용기","895699157X","9788956991573","03370","한문화","파커 J. 파머 지음, 이종인.이은정 옮김","15,000","13,500","1,500","10%","750점","20130425","12178"
"137","사회과학","데스노트에 이름을 쓰면 살인죄일까?","8994353097","9788994353098","03360","애플북스","김지룡.정준옥.갈릴레오 SNC 지음","14,500","13,050","1,450","10%","720점","20110428","1514"
"138","사회과학","회복적 정의란 무엇인가?","8992865104","9788992865104","93360","KAP(Korea Anabaptist Press)","하워드 제어 지음, 손진 옮김","15,000","13,500","1,500","10%","750점","20110105","1430"
"139","사회과학","신도 버린 사람들","8934925795","9788934925798","03840","김영사","나렌드라 자다브 지음, 강수정 옮김","14,500","13,050","1,450","10%","720점","20070608","15908"
"140","사회과학","공산당선언","8970133615","9788970133614","04160","책세상","칼 마르크스 & 프리드리히 엥겔스 지음, 이진우 옮김","6,900","6,210","690","10%","340점","20021030","4087"
"141","사회과학","육식의 종말","8952717570","9788952717573","03840","시공사","제레미 리프킨 지음, 신현승 옮김","13,000","11,700","1,300","10%","650점","20020118","11596"
"142","사회과학","아나키즘 : 마르크스주의적 비판","8979660995","9788979660999","03300","책갈피","존 몰리뉴 지음, 이승민 옮김","10,000","9,000","1,000","10%","500점","20130715","207"
"143","사회과학","또 하나의 냉전","8937487802","9788937487804","93300","민음사","권헌익 지음, 이한중 옮김","18,000","16,200","1,800","10%","900점","20130617","242"
"144","사회과학","정치적 책임에 관하여","8961570706","9788961570701","93100","이후","아이리스 M. 영 지음, 허라금 외 옮김","18,000","16,200","1,800","10%","900점","20130621","256"
"145","사회과학","정치과외 제1교시","8993949530","9788993949537","03340","왕의서재","이동형 지음","13,000","11,700","1,300","10%","650점","20120924","1318"
"146","사회과학","사랑 예찬","8964450213","9788964450215","03100","길(도서출판)","알랭 바디우 지음, 조재룡 옮김","15,000","13,500","1,500","10%","750점","20101214","3345"
"147","사회과학","내 목은 매우 짧으니 조심해서 자르게","6000727786","9788984310162","03810","한겨레신문사","박원순 지음","12,000","10,800","1,200","10%","600점","19991030","3404"
"148","사회과학","폭력의 자유","899497315X","9788994973159","03300","시사IN북","김종철 지음","25,000","22,500","2,500","10%","1,250점","20130722","113"
"149","사회과학","언어의 배반","8958074345","9788958074342","03300","뜨인돌","김준형.윤상헌 지음","13,000","11,700","1,300","10%","650점","20130612","327"
"150","사회과학","굿바이 영어 사교육","8994973133","9788994973135","03370","시사IN북","어도선 외 지음","13,000","11,700","1,300","10%","650점","20121214","857"
"151","사회과학","아! 팔레스타인 1","8992855214","9788992855211","07910","여우고개","원혜진 지음, 팔레스타인평화연대 감수","13,000","11,700","1,300","10%","650점","20130107","1595"
"152","사회과학","헌법의 풍경","8991799671","9788991799677","03360","교양인","김두식 지음","14,000","12,600","1,400","10%","700점","20111220","7473"
"153","사회과학","수업이 바뀌면 학교가 바뀐다","8956089515","9788956089515","03370","에듀니티","사토 마나부 지음, 손우정 옮김","11,000","9,900","1,100","10%","550점","20111110","1996"
"154","사회과학","소녀들의 심리학","8963720373","9788963720371","03180","양철북","레이철 시먼스 지음, 정연희 옮김","15,000","13,500","1,500","10%","750점","20110228","5696"
"155","사회과학","질적 연구방법론","8963302636","9788963302638","93330","학지사","John W. Creswell 지음, 조흥식 옮김","20,000","20,000","0","0%","600점","20100212","796"
"156","사회과학","액체근대","8982181318","9788982181313","03300","강","지그문트 바우만 지음, 이일수 옮김","20,000","18,000","2,000","10%","1,000점","20090608","1710"
"157","사회과학","대한민국사 1945~2008","8975278204","9788975278204","03900","들녘","임영태 지음","39,000","35,100","3,900","10%","1,950점","20081117","980"
"158","사회과학","월든","8979441940","9788979441949","03840","책만드는집","헨리 데이빗 소로우 지음, 김성 옮김","9,800","8,820","980","10%","490점","20040504","2030"
"159","사회과학","뜻으로 본 한국역사","8935654639","9788935654635","04800","한길사","함석헌 지음","22,000","19,800","2,200","10%","1,100점","20030420","6051"
"160","사회과학","야누슈 코르착의 아이들","8990220033","9788990220035","03370","양철북","야누슈 코르착 지음, 노영희 옮김","10,000","9,000","1,000","10%","500점","20021218","3163"
"161","사회과학","기적의 글쓰기 교실","8966370489","9788966370481","13020","미다스북스","이인환 지음","11,500","10,350","1,150","10%","570점","20130715","454"
"162","사회과학","배움의 공동체","8965743559","9788965743552","13370","해냄","손우정 지음","16,500","14,850","1,650","10%","820점","20120815","6970"
"163","사회과학","한국의 CSI","8996687634","9788996687634","03300","북라이프","표창원.유제설 지음","13,800","12,420","1,380","10%","690점","20111230","1529"
"164","사회과학","국가처럼 보기","8962630427","9788962630428","03300","에코리브르","제임스 C. 스콧 지음, 전상인 옮김","35,000","31,500","3,500","10%","1,750점","20101220","1947"
"165","사회과학","100℃","893647166X","9788936471668","07810","창비","최규석 지음","12,000","10,800","1,200","10%","120점","20090605","4792"
"166","사회과학","지식 e - 시즌 3","8956052859","9788956052854","03810","북하우스","EBS 지식채널ⓔ 지음","12,800","11,520","1,280","10%","640점","20080730","7703"
"167","사회과학","88만원 세대","8995995203","9788995995204","03300","레디앙","우석훈.박권일 지음","15,000","13,500","1,500","10%","750점","20070801","14022"
"168","사회과학","사막에 숲이 있다","8974832933","9788974832933","03800","서해문집","이미애 지음","10,900","9,810","1,090","10%","540점","20061010","4882"
"169","사회과학","사다리 걷어차기","8985989693","9788985989695","03320","부키","장하준 지음, 형성백 옮김","12,000","10,800","1,200","10%","600점","20040510","10930"
"170","사회과학","엔트로피","8986698293","9788986698299","03300","세종연구원","제레미 리프킨 지음, 이창희 옮김","16,000","14,400","1,600","10%","800점","20000525","4403"
